onset	duration	trial_type	value
20.250624	10	2	1
32.047104	10	3	1
49.152	10	3	1
64.782336	10	2	1
81.199104	10	2	1
95.551488	10	2	1
106.856448	10	3	1
121.995264	10	3	1
139.198464	10	2	1
156.30336	10	2	1
168.09984	10	2	1
186.7776	10	3	1
202.604544	10	3	1
217.055232	10	2	1
237.993984	10	3	1
254.11584	10	3	1
269.84448	10	2	1
281.247744	10	3	1
298.745856	10	2	1
311.721984	10	2	1
332.070912	10	2	1
347.406336	10	3	1
361.168896	10	3	1
377.094144	10	3	1
390.7584	10	3	1
411.205632	10	2	1
422.903808	10	2	1
439.517184	10	2	1
458.883072	10	3	1
473.923584	10	3	1
